iteration, score, overlap
1393, 378023, 1
1394, 378023, 1
1395, 379028, 0
1396, 197288, 1
1397, 378023, 1
1398, 378023, 1
1399, 282805, 1
1400, 123500, 1
1401, 446927, 1
1402, 378023, 1
1403, 377023, 1
1404, 390151, 1
1405, 378023, 1
1406, 378023, 1
1407, 438097, 1
1408, 377623, 1
1409, 378023, 1
1410, 262760, 1
1411, 215185, 1
1412, 262760, 1
1413, 268205, 1
1414, 279184, 1
1415, 378589, 1
1416, 212765, 1
1417, 277610, 1
1418, 270680, 1
1419, 268700, 1
1420, 212765, 1
1421, 265730, 1
1422, 404384, 1
1423, 205340, 1
1424, 278695, 1
1425, 309752, 1
1426, 291800, 1
1427, 306584, 1
1428, 285992, 1
1429, 355820, 1
1430, 205340, 1
1431, 342950, 1
1432, 229595, 1
1433, 204020, 1
1434, 205340, 1
1435, 212765, 1
1436, 135434, 1
1437, 197365, 1
1438, 135434, 1
1439, 171530, 1
1440, 135434, 1
1441, 204940, 1
1442, 218705, 1
1443, 165824, 1
1444, 165824, 1
1445, 213254, 1
1446, 198584, 1
1447, 181444, 1
1448, 194282, 1
1449, 194876, 1
1450, 134224, 1
1451, 165751, 1
1452, 302129, 1
1453, 119522, 1
1454, 197632, 1
1455, 249899, 1
1456, 134224, 1
1457, 196993, 1
1458, 221593, 1
1459, 135932, 1
1460, 119522, 1
1461, 193584, 1
1462, 136264, 1
1463, 307506, 1
1464, 134224, 1
1465, 161072, 1
1466, 183520, 1
1467, 122272, 1
1468, 150877, 1
1469, 118425, 1
1470, 118425, 1
1471, 81437, 1
1472, 139826, 1
1473, 191717, 1
1474, 247240, 1
1475, 191317, 1
1476, 80162, 1
1477, 227138, 1
1478, 211610, 1
1479, 153707, 1
1480, 80162, 1
1481, 158136, 1
1482, 118425, 1
1483, 165395, 1
1484, 118425, 1
1485, 96975, 1
1486, 264479, 1
1487, 184320, 0
1488, 217450, 1
1489, 188132, 1
1490, 117650, 1
1491, 80162, 1
1492, 98588, 1
1493, 92440, 1
